imu,t,o,r,p,y,temp,press,alt
IMU3,17.12,1,-107.51,-0.07,-75.62,25.9,103560.0,184.44
IMU1,17.13,1,-101.53,-3.99,-0.0,25.4,103311.0,164.05
IMU2,17.13,1,-29.2,-4.67,-24.53,25.1,103478.0,177.72
IMU3,17.13,1,-107.49,0.1,-75.87,25.9,103560.0,184.44
IMU1,17.14,1,-101.54,-3.99,-0.0,25.4,103311.0,164.05
IMU2,17.14,1,-29.27,-4.71,-24.35,25.1,103478.0,177.72
IMU3,17.14,1,-107.47,0.27,-76.12,25.9,103560.0,184.44
IMU1,17.15,1,-101.54,-3.99,-0.0,25.4,103311.0,164.05
IMU2,17.15,1,-29.32,-4.74,-24.17,25.1,103478.0,177.72
IMU3,17.15,1,-107.49,0.15,-76.03,25.9,103560.0,184.44
IMU1,17.16,1,-101.54,-3.99,-0.0,25.4,103311.0,164.05
IMU2,17.16,1,-29.37,-4.77,-24.0,25.1,103478.0,177.72
IMU3,17.16,1,-107.51,0.04,-75.94,25.9,103560.0,184.44
IMU1,17.17,1,-101.55,-3.99,-0.0,25.4,103311.0,164.05
IMU2,17.17,1,-29.17,-4.69,-24.2,25.1,103478.0,177.72
IMU3,17.17,1,-107.57,-0.16,-75.71,25.9,103560.0,184.44
IMU1,17.18,1,-101.55,-3.99,-0.0,25.4,103311.0,164.05
IMU2,17.18,1,-28.97,-4.61,-24.39,25.1,103478.0,177.72
IMU3,17.18,1,-107.55,-0.13,-75.79,25.9,103560.0,184.44
IMU1,17.19,1,-101.56,-3.99,-0.0,25.4,103311.0,164.05
IMU2,17.19,1,-29.03,-4.64,-24.22,25.1,103478.0,177.72
IMU3,17.19,1,-107.54,-0.1,-75.88,25.9,103560.0,184.44
IMU1,17.2,1,-101.56,-3.99,-0.0,25.4,103311.0,164.05
IMU2,17.2,1,-28.84,-4.57,-24.41,25.1,103478.0,177.72
IMU3,17.2,1,-107.55,-0.21,-75.8,25.9,103560.0,184.44
IMU1,17.21,1,-101.56,-3.99,-0.0,25.4,103319.0,164.7
IMU2,17.21,1,-28.65,-4.5,-24.59,25.1,103483.0,178.13
IMU3,17.21,1,-107.53,-0.2,-75.84,25.9,103559.0,184.35
IMU1,17.22,1,-101.56,-3.99,-0.0,25.4,103319.0,164.7
IMU2,17.22,1,-28.46,-4.42,-24.77,25.1,103483.0,178.13
IMU3,17.22,1,-107.52,-0.17,-75.94,25.9,103559.0,184.35
IMU1,17.23,1,-101.57,-3.99,-0.0,25.4,103319.0,164.7
IMU2,17.23,1,-28.28,-4.36,-24.95,25.1,103483.0,178.13
IMU3,17.23,1,-107.5,-0.15,-76.03,25.9,103559.0,184.35
IMU1,17.24,1,-101.57,-3.99,-0.0,25.4,103319.0,164.7
IMU2,17.24,1,-28.36,-4.4,-24.77,25.1,103483.0,178.13
IMU3,17.24,1,-107.51,-0.25,-75.94,25.9,103559.0,184.35
IMU1,17.25,1,-101.57,-3.99,-0.0,25.4,103319.0,164.7
IMU2,17.25,1,-28.44,-4.44,-24.59,25.1,103483.0,178.13
IMU3,17.25,1,-107.54,-0.4,-75.85,25.9,103559.0,184.35
IMU1,17.26,1,-101.57,-3.99,-0.0,25.4,103319.0,164.7
IMU2,17.26,1,-28.51,-4.47,-24.41,25.1,103483.0,178.13
IMU3,17.26,1,-107.57,-0.53,-75.76,25.9,103559.0,184.35
IMU1,17.27,1,-101.57,-3.99,-0.0,25.4,103319.0,164.7
IMU2,17.27,1,-28.34,-4.41,-24.59,25.1,103483.0,178.13
IMU3,17.27,1,-107.59,-0.63,-75.68,25.9,103559.0,184.35
IMU1,17.28,1,-101.58,-3.99,-0.0,25.4,103319.0,164.7
IMU2,17.28,1,-28.17,-4.34,-24.76,25.1,103483.0,178.13
IMU3,17.28,1,-107.6,-0.72,-75.6,25.9,103559.0,184.35
IMU1,17.29,1,-101.58,-3.99,-0.0,25.4,103319.0,164.7
IMU2,17.29,1,-28.0,-4.28,-24.92,25.1,103483.0,178.13
IMU3,17.29,1,-107.63,-0.85,-75.51,25.9,103559.0,184.35
IMU1,17.3,1,-101.58,-3.99,-0.0,25.4,103319.0,164.7
IMU2,17.3,1,-27.84,-4.22,-25.08,25.1,103483.0,178.13
IMU3,17.3,1,-107.66,-0.98,-75.41,25.9,103559.0,184.35
IMU1,17.31,1,-101.58,-3.99,-0.0,25.4,103322.0,164.95
IMU2,17.31,1,-27.67,-4.16,-25.25,25.1,103483.0,178.13
IMU3,17.31,1,-107.63,-0.93,-75.51,25.9,103559.0,184.35
IMU1,17.32,1,-101.59,-3.99,-0.0,25.4,103322.0,164.95
IMU2,17.32,1,-27.51,-4.1,-25.41,25.1,103483.0,178.13
IMU3,17.32,1,-107.61,-0.88,-75.64,25.9,103559.0,184.35
IMU1,17.33,1,-101.59,-3.99,-0.0,25.4,103322.0,164.95
IMU2,17.33,1,-27.36,-4.05,-25.56,25.1,103483.0,178.13
IMU3,17.33,1,-107.59,-0.83,-75.78,25.9,103559.0,184.35
IMU1,17.34,1,-101.59,-3.99,-0.0,25.4,103322.0,164.95
IMU2,17.34,1,-27.47,-4.1,-25.37,25.1,103483.0,178.13
IMU3,17.34,1,-107.57,-0.8,-75.83,25.9,103559.0,184.35
IMU1,17.35,1,-101.59,-3.99,-0.0,25.4,103322.0,164.95
IMU2,17.35,1,-27.32,-4.04,-25.52,25.1,103483.0,178.13
IMU3,17.35,1,-107.56,-0.77,-75.88,25.9,103559.0,184.35
IMU1,17.36,1,-101.59,-3.99,-0.0,25.4,103322.0,164.95
IMU2,17.36,1,-27.17,-3.98,-25.68,25.1,103483.0,178.13
IMU3,17.36,1,-107.57,-0.86,-75.82,25.9,103559.0,184.35
IMU1,17.37,1,-101.6,-3.99,-0.0,25.4,103322.0,164.95
IMU2,17.37,1,-27.02,-3.93,-25.83,25.1,103483.0,178.13
IMU3,17.37,1,-107.58,-0.95,-75.75,25.9,103559.0,184.35
IMU1,17.38,1,-101.6,-3.98,-0.0,25.4,103322.0,164.95
IMU2,17.38,1,-26.88,-3.88,-25.97,25.1,103483.0,178.13
IMU3,17.38,1,-107.59,-1.02,-75.7,25.9,103559.0,184.35
IMU1,17.39,1,-101.6,-3.98,-0.0,25.4,103322.0,164.95
IMU2,17.39,1,-26.74,-3.83,-26.12,25.1,103483.0,178.13
IMU3,17.39,1,-107.6,-1.1,-75.65,25.9,103559.0,184.35
IMU1,17.4,1,-101.6,-3.98,-0.0,25.4,103322.0,164.95
IMU2,17.4,1,-26.6,-3.79,-26.27,25.1,103483.0,178.13
IMU3,17.4,1,-107.6,-1.17,-75.59,25.9,103559.0,184.35
